step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,device_id,ip_address
680,CASH_IN,4.13,EXTERNAL,0.0,0.0,C0000000022,7114.6245548940415,7118.754554894042,0,0,D40512,191.134.219.204
324,TRANSFER,46.34,C0000000008,1866.9894936647452,1820.6494936647453,C0000000010,1268.174974942633,1314.514974942633,0,0,D91070,99.195.239.128
498,TRANSFER,35.85,C0000000029,8686.999297127139,8651.149297127138,C0000000008,1899.659493664745,1935.509493664745,0,0,D92397,161.81.216.32
395,TRANSFER,25.03,C0000000011,3110.8317732324304,3085.80177323243,C0000000015,6819.219940015709,6844.2499400157085,0,0,D39871,156.87.125.83
557,TRANSFER,49.78,C0000000029,8627.44929712714,8577.669297127139,C0000000008,1820.6494936647453,1870.4294936647452,0,0,D20328,99.195.239.128
736,CASH_OUT,2.18,C0000000023,4062.2546486619267,4060.074648661927,EXTERNAL,0.0,0.0,0,0,D47930,126.9.57.185
487,CASH_OUT,95.75,C0000000007,8787.926109343609,8692.176109343609,EXTERNAL,0.0,0.0,0,0,D70217,69.33.108.161
533,TRANSFER,155.74,C0000000007,8943.666109343609,8787.926109343609,C0000000010,1314.514974942633,1470.254974942633,0,0,D19116,222.51.194.142
556,PAYMENT,76.23,C0000000007,8998.46610934361,8922.23610934361,M0000000010,0.0,0.0,0,0,D70217,245.134.91.54
686,CASH_IN,3.93,EXTERNAL,0.0,0.0,C0000000024,2306.245498306034,2310.1754983060337,0,0,D19116,169.243.84.135
501,TRANSFER,22.77,C0000000007,8956.30610934361,8933.53610934361,C0000000023,4060.074648661927,4082.844648661927,0,0,D92397,197.174.57.150
670,DEBIT,7.32,C0000000014,2872.468856179836,2865.148856179836,M0000000015,0.0,7.32,0,0,D70217,126.9.57.185
528,TRANSFER,88.69,C0000000026,3880.360906013641,3791.670906013641,C0000000024,2250.035498306034,2338.725498306034,0,0,D80284,37.135.71.126
89,PAYMENT,65.76,C0000000027,1779.0725904213314,1713.3125904213314,M0000000019,32.43,0.0,0,0,D48427,136.216.108.102
84,DEBIT,63.96,C0000000029,8651.149297127138,8587.189297127139,M0000000013,0.0,63.96,0,0,D19116,55.255.202.234
258,TRANSFER,44.81,C0000000014,102.77,57.959999999999994,C0000000009,4480.326377167434,4525.136377167434,0,0,D15695,91.107.136.36
739,TRANSFER,84.58,C0000000009,4525.136377167434,4440.556377167434,C0000000010,1542.774974942633,1627.354974942633,0,0,D15695,91.107.136.36
358,CASH_IN,34.07,EXTERNAL,0.0,0.0,C0000000007,8922.23610934361,8956.30610934361,0,0,D59615,58.32.173.10
52,TRANSFER,10.9,C0000000008,1910.559493664745,1899.659493664745,C0000000006,7233.6353868062015,7244.535386806201,0,0,D39871,99.195.239.128
714,CASH_OUT,18.51,C0000000019,8177.9441101004395,8159.434110100439,EXTERNAL,0.0,0.0,0,0,D48427,156.87.125.83
404,TRANSFER,0.97,C0000000030,6215.614282302021,6214.644282302021,C0000000005,7701.450927476111,7702.4209274761115,0,0,D47930,222.51.194.142
256,DEBIT,5.33,C0000000030,6197.63428230202,6192.3042823020205,M0000000002,0.0,5.33,0,0,D82357,126.9.57.185
354,CASH_OUT,163.17,C0000000009,4932.156377167434,4768.986377167434,EXTERNAL,0.0,0.0,0,0,D40512,161.81.216.32
465,TRANSFER,102.77,C0000000015,6841.199940015708,6738.429940015708,C0000000014,0.0,102.77,0,0,D15695,91.107.136.36
736,PAYMENT,39.33,C0000000025,9620.027649861031,9580.697649861031,M0000000003,0.0,0.0,0,0,D20458,211.16.161.205
110,PAYMENT,70.53,C0000000016,5867.91332542895,5797.38332542895,M0000000013,0.0,0.0,0,0,D15695,113.231.61.126
339,TRANSFER,134.86,C0000000002,1225.0967970040024,1090.2367970040023,C0000000009,4797.296377167434,4932.156377167434,0,0,D70217,183.159.204.191
316,TRANSFER,95.5,C0000000019,8225.11411010044,8129.61411010044,C0000000018,6396.461154883178,6491.961154883178,0,0,D59615,117.186.83.189
249,CASH_IN,6.26,EXTERNAL,0.0,0.0,C0000000030,6433.53428230202,6439.79428230202,0,0,D20458,249.5.58.136
686,DEBIT,32.43,C0000000019,8257.54411010044,8225.11411010044,M0000000019,0.0,32.43,0,0,D92397,211.16.161.205
309,TRANSFER,5.11,C0000000022,7118.754554894042,7113.644554894042,C0000000025,9614.91764986103,9620.027649861031,0,0,D40512,245.134.91.54
205,CASH_IN,160.62,EXTERNAL,0.0,0.0,C0000000021,8252.413266495272,8413.033266495273,0,0,D15695,69.33.108.161
466,CASH_OUT,0.74,C0000000001,6754.841186120953,6754.101186120954,EXTERNAL,0.0,0.0,0,0,D92397,58.32.173.10
737,TRANSFER,2.56,C0000000020,918.7088371025491,916.1488371025491,C0000000011,3044.9517732324302,3047.51177323243,0,0,D16006,223.152.101.78
535,PAYMENT,17.31,C0000000027,1796.3825904213313,1779.0725904213314,M0000000015,0.0,0.0,0,0,D19116,176.166.28.117
485,PAYMENT,40.85,C0000000011,3085.80177323243,3044.9517732324302,M0000000015,7.32,0.0,0,0,D82357,197.174.57.150
